quotation_id,rep_id,customer_tier,n_lines_raw,blended_overage_pct,worst_line_overage_pct,n_lines,n_flagged_lines,flagged_value_share,log_total_value,thin_margin_value_share,tier_ordinal,avg_discount_pct,max_discount_pct,seniority,is_quarter_end,discount_vs_rep_baseline,latent_risk,risk_label
Q-00064,REP-01,Bronze,3,0.162581,0.64,3.0,2.0,0.758065,10.929547,0.241935,0.0,4.618226,5.64,0.0,0.0,-0.957621,0.7367,0
Q-00065,REP-06,Silver,2,0.0,0.0,2.0,0.0,0.0,11.163382,1.0,1.0,4.791064,8.52,2.0,0.0,-1.330398,0.3175,0
Q-00066,REP-04,Silver,3,0.0,0.0,3.0,0.0,0.0,9.677277,0.413793,1.0,4.376897,6.09,0.0,0.0,-1.417099,0.1405,0
Q-00067,REP-02,Silver,1,0.0,0.0,1.0,0.0,0.0,8.47658,0.0,1.0,1.22,1.22,0.0,0.0,-4.96998,0.0,0
Q-00068,REP-07,Silver,4,0.075244,3.23,4.0,1.0,0.023295,11.319596,0.80199,1.0,7.318656,13.23,1.0,0.0,-1.827387,0.9948,1
Q-00069,REP-01,Silver,4,0.006828,2.29,4.0,1.0,0.002982,11.295901,0.745434,1.0,6.200268,12.29,0.0,0.0,0.624421,1.1155,1
Q-00070,REP-06,Bronze,2,1.253034,2.88,2.0,2.0,1.0,10.703267,1.0,0.0,6.253034,7.88,2.0,0.0,0.131572,1.6902,1
Q-00071,REP-08,Silver,3,0.0,0.0,3.0,0.0,0.0,10.673387,0.0,1.0,9.124466,9.19,0.0,1.0,-0.56393,0.5899,0
Q-00072,REP-04,Gold,2,0.0,0.0,2.0,0.0,0.0,10.81579,0.0,2.0,5.270843,5.66,0.0,0.0,-0.523153,0.0,0
Q-00073,REP-06,Bronze,1,0.0,0.0,1.0,0.0,0.0,9.729194,0.0,0.0,2.55,2.55,2.0,0.0,-3.571462,0.0,0
Q-00074,REP-07,Silver,1,0.0,0.0,1.0,0.0,0.0,9.798183,0.0,1.0,8.29,8.29,1.0,0.0,-0.856043,0.0,0
Q-00075,REP-06,Bronze,2,0.0,0.0,2.0,0.0,0.0,10.026855,0.972376,0.0,2.258729,3.27,2.0,0.0,-3.862732,0.1233,0
Q-00076,REP-02,Silver,4,0.0,0.0,4.0,0.0,0.0,11.645496,0.923144,1.0,7.814517,9.43,0.0,1.0,1.624537,1.6892,1
Q-00077,REP-08,Silver,4,0.749721,4.3,4.0,2.0,0.483211,10.605495,0.978813,1.0,10.366442,14.3,0.0,0.0,0.678045,1.7574,2
Q-00078,REP-02,Silver,3,0.0,0.0,3.0,0.0,0.0,10.905974,1.0,1.0,5.261009,6.45,0.0,0.0,-0.928971,0.7842,1
Q-00079,REP-06,Gold,4,0.0,0.0,4.0,0.0,0.0,12.315828,0.448029,2.0,6.420242,7.37,2.0,1.0,0.29878,1.5164,1
Q-00080,REP-06,Bronze,4,3.996989,5.11,4.0,3.0,0.833672,11.591931,0.993347,0.0,8.96705,10.11,2.0,1.0,2.845589,5.2035,2
Q-00081,REP-07,Silver,1,0.0,0.0,1.0,0.0,0.0,11.472114,1.0,1.0,7.56,7.56,1.0,0.0,-1.586043,0.83,1
Q-00082,REP-02,Silver,2,0.0,0.0,2.0,0.0,0.0,7.323831,0.0,1.0,2.070792,3.75,0.0,0.0,-4.119188,0.0,0
Q-00083,REP-03,Bronze,1,0.0,0.0,1.0,0.0,0.0,9.488048,1.0,0.0,0.0,0.0,2.0,0.0,-4.278836,0.06,0
Q-00084,REP-06,Gold,3,0.0,0.0,3.0,0.0,0.0,9.417436,0.780488,2.0,1.371951,6.25,2.0,0.0,-4.74951,0.0,0
Q-00085,REP-05,Gold,2,0.0,0.0,2.0,0.0,0.0,10.820998,0.0,2.0,6.61694,7.24,2.0,0.0,2.804162,0.0,0
Q-00086,REP-05,Gold,3,0.0,0.0,3.0,0.0,0.0,11.067435,0.530835,2.0,4.370867,5.63,2.0,0.0,0.558089,0.0,0
Q-00087,REP-03,Bronze,1,5.05,5.05,1.0,1.0,1.0,5.929589,0.0,0.0,10.05,10.05,2.0,0.0,5.771164,2.0796,2
Q-00088,REP-07,Bronze,2,0.13508,5.79,2.0,2.0,1.0,10.057324,0.0,0.0,5.13508,10.79,1.0,0.0,-4.010962,0.588,0
Q-00089,REP-03,Bronze,3,0.0,0.0,3.0,0.0,0.0,9.828279,0.878706,0.0,0.304447,2.51,2.0,0.0,-3.974389,0.0379,0
Q-00090,REP-05,Bronze,2,0.0,0.0,2.0,0.0,0.0,9.615872,1.0,0.0,3.1008,3.12,2.0,1.0,-0.711978,0.525,0
Q-00091,REP-03,Bronze,2,0.126472,13.22,2.0,1.0,0.009567,10.70158,0.990433,0.0,2.907901,18.22,2.0,1.0,-1.370935,2.2723,2
Q-00092,REP-01,Silver,3,0.0,0.0,3.0,0.0,0.0,9.214432,0.796813,1.0,5.37004,7.88,0.0,0.0,-0.205807,0.3019,0
Q-00093,REP-06,Silver,2,3.231818,3.95,2.0,1.0,0.818182,9.711176,1.0,1.0,11.413636,13.95,2.0,0.0,5.292175,3.0167,2
Q-00094,REP-04,Gold,2,0.0,0.0,2.0,0.0,0.0,10.533455,0.998668,2.0,3.600479,3.96,0.0,0.0,-2.193517,0.4222,0
Q-00095,REP-01,Gold,1,0.0,0.0,1.0,0.0,0.0,6.37332,0.0,2.0,0.63,0.63,0.0,0.0,-4.945847,0.0,0
Q-00096,REP-06,Gold,3,0.162532,1.07,3.0,1.0,0.151899,10.073273,0.848101,2.0,2.875443,13.07,2.0,0.0,-3.246019,0.0,0
Q-00097,REP-07,Bronze,3,4.484023,10.04,3.0,2.0,0.810247,9.263028,0.948767,0.0,9.444175,15.04,1.0,0.0,0.298132,4.9646,2
Q-00098,REP-03,Gold,3,0.0,0.0,3.0,0.0,0.0,12.00488,0.0,2.0,5.493372,5.93,2.0,0.0,1.214536,0.3229,0
Q-00099,REP-03,Silver,4,0.0,0.0,4.0,0.0,0.0,11.761745,0.0,1.0,1.440386,5.01,2.0,0.0,-2.83845,0.2488,0
Q-00100,REP-08,Gold,6,0.851364,2.21,6.0,1.0,0.385233,11.445193,0.882825,2.0,9.496132,12.21,0.0,0.0,-0.192265,1.7825,1
Q-00101,REP-03,Silver,2,0.406476,5.31,2.0,1.0,0.076549,11.318139,1.0,1.0,3.57294,15.31,2.0,1.0,-0.705896,1.7914,2
Q-00102,REP-06,Bronze,3,0.403415,1.73,3.0,2.0,0.326829,9.928229,0.868293,0.0,2.407805,6.73,2.0,0.0,-3.713657,0.5499,0
Q-00103,REP-05,Gold,3,0.0,0.0,3.0,0.0,0.0,10.702368,0.674764,2.0,7.459177,9.9,2.0,1.0,3.646399,0.1516,0
Q-00104,REP-06,Gold,5,0.780864,2.53,5.0,1.0,0.308642,11.484536,0.567901,2.0,6.19858,12.53,2.0,0.0,0.077119,1.0166,1
Q-00105,REP-08,Silver,2,0.0,0.0,2.0,0.0,0.0,8.551788,0.0,1.0,7.586957,7.63,0.0,0.0,-2.10144,0.0,0
Q-00106,REP-06,Silver,2,6.390884,6.61,2.0,1.0,0.966851,10.679159,0.0,1.0,16.279503,16.61,2.0,1.0,10.158041,3.4033,2
Q-00107,REP-06,Bronze,6,1.949705,8.67,6.0,3.0,0.433107,11.569693,0.034014,0.0,5.545227,13.67,2.0,1.0,-0.576235,2.5688,2
Q-00108,REP-04,Silver,2,0.507534,2.85,2.0,1.0,0.178082,10.687412,0.178082,1.0,2.617123,12.85,0.0,0.0,-3.176873,0.9828,0
Q-00109,REP-06,Gold,3,6.377143,11.16,3.0,1.0,0.571429,10.645449,0.857143,2.0,14.411429,21.16,2.0,1.0,8.289967,6.8158,2
Q-00110,REP-05,Silver,3,0.0,0.0,3.0,0.0,0.0,11.742457,0.985692,1.0,2.404483,5.68,2.0,0.0,-1.408294,0.7705,1
Q-00111,REP-08,Bronze,6,0.466803,8.98,6.0,4.0,0.260754,12.32608,0.234146,0.0,4.796772,13.98,0.0,0.0,-4.891625,3.2875,2
Q-00112,REP-01,Silver,3,0.0,0.0,3.0,0.0,0.0,11.188593,0.701245,1.0,3.14112,9.38,0.0,0.0,-2.434727,0.7682,0
Q-00113,REP-05,Silver,2,0.147953,0.55,2.0,1.0,0.269006,9.929204,0.730994,1.0,6.376023,10.55,2.0,1.0,2.563246,0.3257,0
Q-00114,REP-06,Silver,4,0.0,0.0,4.0,0.0,0.0,10.703716,0.458221,1.0,5.843935,9.06,2.0,0.0,-0.277526,0.0,0
Q-00115,REP-04,Bronze,6,2.090067,4.16,6.0,5.0,0.890602,12.586258,0.396568,0.0,6.543078,9.16,0.0,0.0,0.749082,4.0201,2
Q-00116,REP-01,Gold,3,0.0,0.0,3.0,0.0,0.0,10.247113,1.0,2.0,7.950213,8.48,0.0,1.0,2.374366,0.795,1
Q-00117,REP-08,Bronze,5,1.406613,10.44,5.0,5.0,1.0,11.212374,0.705024,0.0,6.406613,15.44,0.0,0.0,-3.281784,3.2624,2
Q-00118,REP-03,Bronze,2,0.224255,0.62,2.0,1.0,0.361702,10.247113,1.0,0.0,3.500851,5.62,2.0,0.0,-0.777985,0.4416,0
Q-00119,REP-06,Bronze,2,1.840909,2.25,2.0,1.0,0.818182,9.893488,0.0,0.0,6.424545,7.25,2.0,0.0,0.303084,0.5857,0
Q-00120,REP-01,Bronze,2,0.0,0.0,2.0,0.0,0.0,10.891187,0.100559,0.0,2.059274,2.5,0.0,0.0,-3.516573,0.5028,0
Q-00121,REP-05,Silver,6,0.0,0.0,6.0,0.0,0.0,12.638443,0.428321,1.0,2.291313,6.35,2.0,0.0,-1.521465,1.9837,2
Q-00122,REP-04,Silver,2,0.0,0.0,2.0,0.0,0.0,10.376642,0.88785,1.0,9.060467,9.97,0.0,1.0,3.266471,0.9858,1
Q-00123,REP-08,Bronze,3,1.61659,4.83,3.0,2.0,0.34104,10.857093,0.34104,0.0,6.267341,9.83,0.0,0.0,-3.421055,2.5093,2
Q-00124,REP-01,Gold,6,0.022391,0.26,6.0,1.0,0.086118,11.126248,0.60209,2.0,6.164378,15.26,0.0,1.0,0.588531,0.9452,0
Q-00125,REP-07,Silver,2,0.0,0.0,2.0,0.0,0.0,9.218408,0.0,1.0,7.091429,7.77,1.0,0.0,-2.054614,0.0,0
Q-00126,REP-01,Bronze,3,2.405263,8.68,3.0,3.0,1.0,11.133143,0.657895,0.0,7.405263,13.68,0.0,1.0,1.829416,4.0984,2
Q-00127,REP-04,Gold,2,0.0,0.0,2.0,0.0,0.0,9.913487,1.0,2.0,2.737822,3.98,0.0,0.0,-3.056174,0.2783,0
Q-00128,REP-01,Silver,4,0.0,0.0,4.0,0.0,0.0,10.128669,0.946108,1.0,6.696647,9.49,0.0,0.0,1.1208,0.5091,0
Q-00129,REP-08,Bronze,5,6.969268,14.39,5.0,5.0,1.0,10.670141,0.167247,0.0,11.969268,19.39,0.0,1.0,2.280872,5.8712,2
Q-00130,REP-02,Bronze,4,0.487165,1.5,4.0,2.0,0.33817,11.403122,0.170759,0.0,4.64077,6.5,0.0,0.0,-1.54921,1.2123,1
Q-00131,REP-04,Silver,2,0.0,0.0,2.0,0.0,0.0,10.465985,1.0,1.0,1.021538,2.48,0.0,0.0,-4.772457,0.6225,1
Q-00132,REP-08,Gold,2,0.0,0.0,2.0,0.0,0.0,6.25575,0.0,2.0,9.107981,12.57,0.0,0.0,-0.580415,0.0,0
Q-00133,REP-03,Bronze,3,0.388202,3.4,3.0,1.0,0.114177,12.255819,0.114177,0.0,4.396851,8.4,2.0,1.0,0.118014,2.3646,1
Q-00134,REP-06,Bronze,3,0.872766,2.93,3.0,1.0,0.297872,10.652566,0.404255,0.0,4.201064,7.93,2.0,0.0,-1.920398,1.0303,1
Q-00135,REP-01,Bronze,1,2.35,2.35,1.0,1.0,1.0,9.798183,1.0,0.0,7.35,7.35,0.0,0.0,1.774153,2.9325,2
Q-00136,REP-01,Bronze,1,0.0,0.0,1.0,0.0,0.0,10.203629,1.0,0.0,1.09,1.09,0.0,0.0,-4.485847,0.775,0
Q-00137,REP-07,Gold,1,0.0,0.0,1.0,0.0,0.0,9.729194,0.0,2.0,8.4,8.4,1.0,0.0,-0.746043,0.0,0
Q-00138,REP-06,Bronze,2,0.92873,2.16,2.0,2.0,1.0,10.555188,0.0,0.0,5.92873,7.16,2.0,0.0,-0.192732,0.3475,0
Q-00139,REP-01,Bronze,3,0.074965,5.36,3.0,1.0,0.013986,10.66665,0.412587,0.0,2.63049,10.36,0.0,0.0,-2.945358,1.237,1
Q-00140,REP-04,Bronze,5,3.492988,13.21,5.0,2.0,0.278884,11.229249,0.143426,0.0,6.101594,18.21,0.0,0.0,0.307598,3.6265,2
Q-00141,REP-06,Silver,4,0.0,0.0,4.0,0.0,0.0,11.083695,0.645161,1.0,4.879355,10.0,2.0,0.0,-1.242107,0.0773,0
Q-00142,REP-07,Silver,4,0.064157,2.0,4.0,1.0,0.032078,11.405129,0.42994,1.0,8.872421,12.0,1.0,0.0,-0.273621,0.7116,0
Q-00143,REP-05,Bronze,3,0.0,0.0,3.0,0.0,0.0,10.03456,1.0,0.0,3.880658,4.08,2.0,1.0,0.06788,0.59,0
Q-00144,REP-02,Silver,6,0.0,0.0,6.0,0.0,0.0,11.22559,0.639787,1.0,5.646894,7.97,0.0,0.0,-0.543086,0.7571,0
Q-00145,REP-08,Silver,5,1.222241,2.52,5.0,1.0,0.485016,10.27042,0.620128,1.0,8.698308,12.52,0.0,0.0,-0.990089,1.6655,1
Q-00146,REP-04,Silver,4,0.0,0.0,4.0,0.0,0.0,11.393026,0.343856,1.0,4.330891,8.12,0.0,0.0,-1.463105,0.7083,0
Q-00147,REP-07,Gold,6,0.010496,0.42,6.0,1.0,0.02499,11.695672,0.728863,2.0,8.376947,10.65,1.0,1.0,-0.769096,1.1663,1
Q-00148,REP-04,Silver,3,0.0,0.0,3.0,0.0,0.0,11.826283,0.219298,1.0,4.773246,5.8,0.0,0.0,-1.02075,1.0406,1
Q-00149,REP-02,Bronze,1,0.35,0.35,1.0,1.0,1.0,7.427144,0.0,0.0,5.35,5.35,0.0,0.0,-0.83998,0.1995,0
Q-00150,REP-02,Silver,2,5.225806,5.4,2.0,1.0,0.967742,10.300954,0.0,1.0,15.017742,15.4,0.0,0.0,8.827762,2.8168,2
Q-00151,REP-04,Silver,2,0.0,0.0,2.0,0.0,0.0,10.082721,0.0,1.0,7.625517,7.71,0.0,0.0,1.831521,0.0,0
Q-00152,REP-04,Silver,1,0.0,0.0,1.0,0.0,0.0,11.998439,0.0,1.0,5.72,5.72,0.0,0.0,-0.073996,1.1342,1
Q-00153,REP-02,Gold,2,0.0,0.0,2.0,0.0,0.0,11.849405,0.0,2.0,7.672857,9.64,0.0,0.0,1.482877,0.7267,0
Q-00154,REP-07,Silver,5,0.0,0.0,5.0,0.0,0.0,10.739024,0.873807,1.0,5.830716,7.83,1.0,0.0,-3.315327,0.3449,0
Q-00155,REP-03,Silver,1,0.0,0.0,1.0,0.0,0.0,3.828641,0.0,1.0,3.97,3.97,2.0,0.0,-0.308836,0.0,0
Q-00156,REP-08,Bronze,6,4.484835,8.33,6.0,6.0,1.0,12.021555,0.725797,0.0,9.484835,13.33,0.0,0.0,-0.203562,5.8225,2
Q-00157,REP-08,Silver,1,0.0,0.0,1.0,0.0,0.0,7.783641,1.0,1.0,5.96,5.96,0.0,0.0,-3.728396,0.35,0
Q-00158,REP-08,Bronze,1,12.44,12.44,1.0,1.0,1.0,8.922792,1.0,0.0,17.44,17.44,0.0,0.0,7.751604,12.4305,2
Q-00159,REP-06,Gold,3,0.0,0.0,3.0,0.0,0.0,11.958899,0.025608,2.0,3.574853,3.64,2.0,0.0,-2.546609,0.2758,0
Q-00160,REP-02,Bronze,3,1.741899,2.59,3.0,2.0,0.746835,10.073273,0.493671,0.0,6.450759,7.59,0.0,0.0,0.26078,2.0225,1
Q-00161,REP-05,Silver,1,0.0,0.0,1.0,0.0,0.0,7.496097,1.0,1.0,1.58,1.58,2.0,0.0,-2.232778,0.0,0
Q-00162,REP-06,Silver,3,1.206,7.37,3.0,1.0,0.163636,10.558439,1.0,1.0,5.912182,17.37,2.0,0.0,-0.20928,1.8746,1
Q-00163,REP-05,Silver,3,0.010697,2.15,3.0,1.0,0.004975,10.901745,0.165837,1.0,2.909536,12.15,2.0,0.0,-0.903242,0.0,0
Q-00164,REP-07,Bronze,1,1.99,1.99,1.0,1.0,1.0,8.999743,1.0,0.0,6.99,6.99,1.0,0.0,-2.156043,2.208,2
Q-00165,REP-02,Silver,2,0.0,0.0,2.0,0.0,0.0,8.835792,0.916364,1.0,7.463382,7.68,0.0,0.0,1.273402,0.3413,0
Q-00166,REP-08,Bronze,3,1.29,4.68,3.0,2.0,0.589744,10.75366,0.051282,0.0,5.18641,9.68,0.0,0.0,-4.501986,1.5756,1
Q-00167,REP-02,Silver,1,0.0,0.0,1.0,0.0,0.0,9.488048,1.0,1.0,5.72,5.72,0.0,0.0,-0.46998,0.44,0
Q-00168,REP-03,Bronze,3,0.163715,6.54,3.0,1.0,0.025033,10.438694,0.0,0.0,0.473333,11.54,2.0,0.0,-3.805503,0.4728,0
Q-00169,REP-07,Silver,4,0.066068,1.18,4.0,1.0,0.05599,11.630895,0.05599,1.0,8.931649,11.18,1.0,0.0,-0.214393,0.6338,0
